date-time,atmospheric pressure (mBar),rainfall (mm),wind speed (m/s),wind direction (degrees),surface temperature (C),relative humidity (%),solar flux (Kw/m2),battery (V)
02/10/2015 01:58,1028,0,0,0,10.01,79.2,0,13.77
02/10/2015 01:59,1028,0,0,0,10.04,78.8,0,13.77
02/10/2015 02:00,1028,0,0,0,10.09,78,0,13.77
02/10/2015 02:01,1028,0,0,0,10.1,77.5,0,13.77
02/10/2015 02:02,1028,0,0,0,10.18,76.8,0,13.77
02/10/2015 02:03,1028,0,0,0,10.21,76.2,0,13.77
02/10/2015 02:04,1028,0,0,0,10.22,75.8,0,13.77
02/10/2015 02:05,1028,0,0,0,10.27,75.4,0,13.77
02/10/2015 02:06,1028,0,0,0,10.3,74.8,0,13.77
02/10/2015 02:07,1028,0,0,0,10.35,74.3,0,13.77
02/10/2015 02:08,1028,0,0,0,10.38,73.9,0,13.77
02/10/2015 02:09,1028,0,0,0,10.39,73.3,0,13.77
02/10/2015 02:10,1028,0,0,0,10.42,72.8,0,13.77
02/10/2015 02:11,1028,0,0,0,10.46,72.3,0,13.77
02/10/2015 02:12,1028,0,0,0,10.43,72,0,13.77
02/10/2015 02:13,1028,0,0,0,10.46,71.8,0,13.77
02/10/2015 02:14,1028,0,0,0,10.52,71.5,0,13.77
02/10/2015 02:15,1028,0,0,0,10.55,71.3,0,13.77
02/10/2015 02:16,1028,0,0,0,10.54,71.2,0,13.77
02/10/2015 02:17,1028,0,0,0,10.52,71.1,0,13.77
02/10/2015 02:18,1028,0,0,0,10.54,70.9,0,13.77
02/10/2015 02:19,1028,0,0,0,10.54,70.7,0,13.77
02/10/2015 02:20,1028,0,0,0,10.54,70.6,0,13.77
02/10/2015 02:21,1028,0,0,0,10.51,70.4,0,13.77
02/10/2015 02:22,1028,0,0,0,10.52,70.1,0,13.77
02/10/2015 02:23,1028,0,0,0,10.51,70,0,13.77
02/10/2015 02:24,1028,0,0,0,10.54,70.1,0,13.77
02/10/2015 02:25,1028,0,0,0,10.51,70.1,0,13.77
02/10/2015 02:26,1028,0,0,0,10.44,70.1,0,13.77
02/10/2015 02:27,1028,0,0,0,10.43,70.3,0,13.77
02/10/2015 02:28,1028,0,0,0,10.44,70.2,0,13.77
02/10/2015 02:29,1028,0,0,0,10.47,70.3,0,13.77
02/10/2015 02:30,1028,0,0,0,10.45,70.3,0,13.77
02/10/2015 02:31,1028,0,0,0,10.43,70.3,0,13.77
02/10/2015 02:32,1028,0,0,0,10.43,70.5,0,13.77
02/10/2015 02:33,1028,0,0,0,10.45,70.4,0,13.77
02/10/2015 02:34,1028,0,0,0,10.44,70.5,0,13.77
02/10/2015 02:35,1028,0,0,0,10.42,70.8,0,13.77
02/10/2015 02:36,1028,0,0,0,10.45,70.7,0,13.77
02/10/2015 02:37,1028,0,0,0,10.42,70.9,0,13.77
02/10/2015 02:38,1028,0,0,0,10.45,71,0,13.77
02/10/2015 02:39,1028,0,0,0,10.41,71.1,0,13.77
02/10/2015 02:40,1028,0,0,0,10.38,71.3,0,13.77
02/10/2015 02:41,1028,0,0,0,10.43,71.4,0,13.77
02/10/2015 02:42,1028,0,0,0,10.43,71.2,0,13.77
02/10/2015 02:43,1028,0,0,0,10.5,71.1,0,13.77
02/10/2015 02:44,1028,0,0.063,247.5,10.53,71.2,0,13.77
02/10/2015 02:45,1028,0,0.042,245.2,10.56,71,0,13.77
